,time_series_code,date,value,cat_code,cat_desc,category_level,dt_code,dt_desc,dt_unit,et_code,et_desc,et_unit,geo_code,geo_desc,is_adj,report,detail_code
4856,ESTIMATE_SALE_US,2000-07-01,1144,ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,SALE
4857,ESTIMATE_RNTSLD_US,2000-07-01,1001,ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,RNTSLD
4858,ESTIMATE_OFFMAR_US,2000-07-01,5135,ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OFFMAR
4859,ESTIMATE_OCCUSE_US,2000-07-01,1856,ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OCCUSE
4860,ESTIMATE_URE_US,2000-07-01,962,ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,URE
4861,ESTIMATE_OTH_US,2000-07-01,2317,ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,US,United States,0,Housing Vacancies and Homeownership,OTH
4862,ESTIMATE_TOTAL_NE,2000-07-01,22236,ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,TOTAL
4863,ESTIMATE_OCC_NE,2000-07-01,19830,ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OCC
4864,ESTIMATE_OWNOCC_NE,2000-07-01,12666,ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OWNOCC
4865,ESTIMATE_RNTOCC_NE,2000-07-01,7163,ESTIMATE,Housing Inventory Estimate,0,RNTOCC,Renter Occupied Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RNTOCC
4866,ESTIMATE_VACANT_NE,2000-07-01,2407,ESTIMATE,Housing Inventory Estimate,0,VACANT,Vacant Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,VACANT
4867,ESTIMATE_YRVAC_NE,2000-07-01,1669,ESTIMATE,Housing Inventory Estimate,0,YRVAC,Year-Round Vacant Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,YRVAC
4868,ESTIMATE_SEASON_NE,2000-07-01,738,ESTIMATE,Housing Inventory Estimate,0,SEASON,Seasonal Housing Units, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,SEASON
4869,ESTIMATE_RENT_NE,2000-07-01,449,ESTIMATE,Housing Inventory Estimate,0,RENT,Vacant Housing Units for Rent, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RENT
4870,ESTIMATE_SALE_NE,2000-07-01,161,ESTIMATE,Housing Inventory Estimate,0,SALE,Vacant Housing Units for Sale, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,SALE
4871,ESTIMATE_RNTSLD_NE,2000-07-01,175,ESTIMATE,Housing Inventory Estimate,0,RNTSLD,"Vacant Housing Units Rented or Sold, Not Yet Occupied", Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,RNTSLD
4872,ESTIMATE_OFFMAR_NE,2000-07-01,884,ESTIMATE,Housing Inventory Estimate,0,OFFMAR,Vacant Housing Units Held Off the Market, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OFFMAR
4873,ESTIMATE_OCCUSE_NE,2000-07-01,326,ESTIMATE,Housing Inventory Estimate,0,OCCUSE,Vacant Housing Units Held Off the Market and For Occasional Use, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OCCUSE
4874,ESTIMATE_URE_NE,2000-07-01,169,ESTIMATE,Housing Inventory Estimate,0,URE,Vacant Housing Units Held Off the Market and Usual Residence Elsewhere, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,URE
4875,ESTIMATE_OTH_NE,2000-07-01,389,ESTIMATE,Housing Inventory Estimate,0,OTH,Vacant Housing Units Held Off the Market and Vacant for Other Reasons, Thousands of Units,,,,NE,Northeast,0,Housing Vacancies and Homeownership,OTH
4876,ESTIMATE_TOTAL_MW,2000-07-01,27070,ESTIMATE,Housing Inventory Estimate,0,TOTAL,Total Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,TOTAL
4877,ESTIMATE_OCC_MW,2000-07-01,24260,ESTIMATE,Housing Inventory Estimate,0,OCC,Occupied Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OCC
4878,ESTIMATE_OWNOCC_MW,2000-07-01,17680,ESTIMATE,Housing Inventory Estimate,0,OWNOCC,Owner Occupied Housing Units, Thousands of Units,,,,MW,Midwest,0,Housing Vacancies and Homeownership,OWNOCC
